Cliente;Producto;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;Tot
60641_1 - JUMN SAN RAFAEL. S.L;028000007000020 - KARLSBRAU HELLES 20X33 CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.0;0.0;0.0;0.0;52.0
60641_1 - JUMN SAN RAFAEL. S.L;028000008000020 - KARLSBRAU KELLER 20X33 CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.0;0.0;0.0;0.0;52.0
60641_1 - JUMN SAN RAFAEL. S.L;073000002000006 - CRIANZA PRIOS MAXIMUS CJA 6X75 ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51.55;0.0;0.0;0.0;51.55
60641_1 - JUMN SAN RAFAEL. S.L;073000003000006 - RESERVA PRIOS MAXIMUS CJA 6X75 ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73.01;0.0;0.0;0.0;73.01
60641_1 - JUMN SAN RAFAEL. S.L;084000119000006 - CALVET RESERVE MERLOT-CABERT 6X75CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.64;0.0;0.0;0.0;33.64
60641_1 - JUMN SAN RAFAEL. S.L;084000188000006 - MOILLARD GRIVOT PINOT NOIR TTO CAJA 6X75CL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.04;0.0;0.0;0.0;47.04
60641_1 - JUMN SAN RAFAEL. S.L;084000189000006 - MOILLARD GRIVOT CHARDONNAY CAJA 6X75CL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
60641_1 - JUMN SAN RAFAEL. S.L;097000300000006 - LEZA GARCIA FAMILIA CRIANZA CAJA 6X75CL(TTO);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.12;0.0;0.0;0.0;33.12
60641_1 - JUMN SAN RAFAEL. S.L;097000301000006 - LEZA GARCIA RESERVA CAJA 6X75CL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.75;0.0;0.0;0.0;34.75
60641_1 - JUMN SAN RAFAEL. S.L;133000002000006 - PAZO AS BARREIRAS ALBARIï¿½O  6X75CL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.49;0.0;0.0;0.0;25.49
60641_1 - JUMN SAN RAFAEL. S.L;136000002000006 - ALIAGA DOSCARLOS SAUVIG.BCO 6X75CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.44;0.0;0.0;0.0;25.44
